epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,115.87,1.99375,3.96193,3.33563,1.82121,0,0.08498,0.09204,0.03142,0.01067,0.0615,0.06305,0.01784,0.00546,2.37404,4.06838,3.8193,2.37295,0,0.000552647,0.000552647,0.000552647
2,227.007,2.06354,3.81421,3.06523,1.87112,0,0.10283,0.07822,0.03026,0.01023,0.13502,0.05705,0.01964,0.00581,2.40574,4.59589,3.68196,2.35169,0,0.00108637,0.00108637,0.00108637
3,338.902,2.07902,3.8197,3.03321,1.87877,0,0.06723,0.09217,0.02257,0.00748,0.05535,0.06617,0.01341,0.00394,2.42471,4.14642,3.95726,2.27229,0,0.00159809,0.00159809,0.00159809
4,449.09,2.06875,3.84168,3.00404,1.88661,0,0.12201,0.12291,0.05092,0.01875,0.11299,0.09572,0.03326,0.00935,2.28685,3.87451,3.26153,2.10979,0,0.00156798,0.00156798,0.00156798
5,559.649,2.00803,3.74305,2.92056,1.83296,0,0.12611,0.12663,0.05351,0.02092,0.11246,0.10209,0.03639,0.01118,2.28599,3.76592,3.28557,2.14673,0,0.00153497,0.00153497,0.00153497
6,666.071,1.96492,3.67117,2.85661,1.80929,0,0.16188,0.11918,0.05974,0.02131,0.14795,0.09853,0.0453,0.01323,2.25057,3.79194,3.27012,2.10907,0,0.00150197,0.00150197,0.00150197
7,776.231,1.95075,3.6245,2.80505,1.78339,0,0.17987,0.15426,0.09194,0.03571,0.14507,0.12427,0.05955,0.01798,2.12721,3.70653,3.02671,1.9347,0,0.00146896,0.00146896,0.00146896
8,886.321,1.90542,3.57208,2.77021,1.75802,0,0.13019,0.11032,0.05299,0.02028,0.10906,0.08444,0.03043,0.0093,2.22994,3.81667,3.30564,2.09588,0,0.00143595,0.00143595,0.00143595
9,998.185,1.88693,3.54968,2.72645,1.73485,0,0.22525,0.15947,0.10394,0.04331,0.21204,0.12403,0.07535,0.02664,2.08736,3.55237,2.98085,1.94021,0,0.00140295,0.00140295,0.00140295
10,1110.12,1.8726,3.52002,2.69305,1.72733,0,0.20832,0.15853,0.09476,0.03532,0.24129,0.12146,0.07023,0.02128,2.09296,3.48986,2.99942,1.93026,0,0.00136994,0.00136994,0.00136994
