epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,152.459,1.34799,3.72393,0.01756,0.27701,0.25928,0.17809,0.08492,1.87608,4.28555,0.042,0.000473627,0.000473627,0.000473627
2,297.59,1.59025,2.63897,0.02239,0.35376,0.39028,0.32098,0.15275,1.96947,3.19918,0.04425,0.000931151,0.000931151,0.000931151
3,442.452,1.69552,2.59553,0.02366,0.30392,0.2917,0.22427,0.10705,2.17695,3.44063,0.04842,0.00136981,0.00136981,0.00136981
4,587.531,1.62955,2.49561,0.02291,0.38726,0.38765,0.33052,0.1617,1.97465,2.90975,0.04294,0.00134412,0.00134412,0.00134412
5,733,1.5872,2.40784,0.0214,0.32944,0.37524,0.31062,0.18411,1.87785,2.91295,0.03991,0.00131582,0.00131582,0.00131582
6,877.517,1.52076,2.27263,0.02043,0.49228,0.44387,0.42213,0.27178,1.70683,2.54245,0.03424,0.00128753,0.00128753,0.00128753
7,1023,1.4824,2.16826,0.01933,0.46504,0.42312,0.41222,0.28128,1.64418,2.51149,0.03177,0.00125923,0.00125923,0.00125923
8,1168.06,1.45496,2.13273,0.01866,0.56587,0.46748,0.47928,0.32038,1.6788,2.2861,0.03249,0.00123094,0.00123094,0.00123094
9,1313.92,1.43084,2.05784,0.01841,0.59585,0.50278,0.52149,0.33992,1.58915,2.07429,0.03108,0.00120265,0.00120265,0.00120265
10,1459.03,1.43161,2.02655,0.01816,0.4898,0.44497,0.43565,0.30654,1.63363,2.37091,0.03162,0.00117435,0.00117435,0.00117435
11,1603.57,1.37518,1.97424,0.01745,0.50304,0.52981,0.50162,0.35614,1.56082,2.10219,0.02876,0.00114606,0.00114606,0.00114606
12,1747.91,1.361,1.94051,0.01707,0.56628,0.47027,0.48987,0.32115,1.59429,2.08571,0.03119,0.00111776,0.00111776,0.00111776
13,1892.7,1.339,1.88025,0.01688,0.49425,0.48069,0.45182,0.33751,1.61363,2.41868,0.03118,0.00108947,0.00108947,0.00108947
14,2037.39,1.33755,1.89109,0.01673,0.57883,0.49628,0.52043,0.37572,1.53065,2.02932,0.02884,0.00106118,0.00106118,0.00106118
15,2182.24,1.31559,1.8171,0.01664,0.52122,0.547,0.52435,0.38817,1.48563,2.00215,0.02756,0.00103288,0.00103288,0.00103288
16,2327.31,1.2985,1.77866,0.01638,0.57506,0.55184,0.56551,0.40686,1.47466,1.91993,0.0274,0.00100459,0.00100459,0.00100459
17,2473.08,1.28335,1.74083,0.01584,0.58871,0.55275,0.56881,0.40914,1.48849,1.90315,0.02791,0.000976293,0.000976293,0.000976293
18,2618.94,1.27613,1.72195,0.01555,0.54672,0.56363,0.56336,0.40754,1.41795,1.85141,0.02615,0.000947999,0.000947999,0.000947999
19,2764.04,1.25951,1.68005,0.01539,0.62579,0.59007,0.59779,0.42379,1.48432,1.7275,0.02772,0.000919704,0.000919704,0.000919704
20,2909.61,1.24197,1.62861,0.01505,0.54149,0.57585,0.54134,0.39662,1.44434,1.84629,0.02683,0.00089141,0.00089141,0.00089141
21,3055.26,1.22578,1.63172,0.01483,0.63579,0.55593,0.58999,0.44223,1.40418,1.76391,0.02548,0.000863116,0.000863116,0.000863116
22,3200.29,1.22263,1.59906,0.01492,0.58746,0.57028,0.57923,0.41435,1.4287,1.79521,0.02637,0.000834822,0.000834822,0.000834822
23,3345.64,1.19034,1.54987,0.0143,0.65267,0.59676,0.62058,0.45118,1.41069,1.68955,0.02583,0.000806528,0.000806528,0.000806528
24,3490.52,1.17852,1.52386,0.0142,0.62795,0.56791,0.60494,0.45051,1.38313,1.69122,0.02514,0.000778233,0.000778233,0.000778233
25,3635.55,1.17193,1.52332,0.01403,0.6044,0.59925,0.60783,0.42097,1.42207,1.73711,0.02641,0.000749939,0.000749939,0.000749939
26,3780.59,1.15364,1.45882,0.01357,0.5592,0.59149,0.59114,0.44585,1.33821,1.77933,0.02425,0.000721645,0.000721645,0.000721645
27,3926.07,1.12615,1.42513,0.01333,0.61044,0.60322,0.60359,0.46169,1.34004,1.7059,0.02365,0.000693351,0.000693351,0.000693351
28,4070.63,1.1284,1.40011,0.01331,0.63061,0.61369,0.64391,0.47663,1.32566,1.6329,0.02342,0.000665057,0.000665057,0.000665057
29,4216.11,1.12441,1.40726,0.01295,0.69837,0.61637,0.65298,0.49681,1.29452,1.59212,0.0224,0.000636762,0.000636762,0.000636762
30,4361.63,1.09969,1.35929,0.01279,0.63562,0.60644,0.62393,0.47066,1.32509,1.60703,0.02306,0.000608468,0.000608468,0.000608468
31,4506.46,1.09168,1.3392,0.01259,0.66493,0.61355,0.66036,0.50619,1.26796,1.54485,0.02189,0.000580174,0.000580174,0.000580174
32,4651.24,1.0814,1.305,0.0125,0.68851,0.62429,0.66519,0.50488,1.29356,1.51046,0.02211,0.00055188,0.00055188,0.00055188
33,4795.93,1.075,1.2564,0.01216,0.67581,0.62803,0.65915,0.50407,1.29319,1.52666,0.02215,0.000523586,0.000523586,0.000523586
34,4940.87,1.06122,1.24203,0.01224,0.65323,0.61609,0.6479,0.49042,1.30427,1.57757,0.0228,0.000495291,0.000495291,0.000495291
35,5085.79,1.04387,1.21622,0.01204,0.6938,0.64528,0.6798,0.51273,1.28653,1.47858,0.02214,0.000466997,0.000466997,0.000466997
36,5230.96,1.04268,1.18737,0.01185,0.69149,0.60731,0.65635,0.50673,1.27871,1.5139,0.02167,0.000438703,0.000438703,0.000438703
37,5375.46,1.02526,1.15265,0.0115,0.7105,0.61168,0.68479,0.51919,1.25462,1.4429,0.0216,0.000410409,0.000410409,0.000410409
38,5520.16,1.02821,1.13526,0.01153,0.69713,0.6379,0.67461,0.51292,1.27748,1.44921,0.02239,0.000382115,0.000382115,0.000382115
39,5664.89,0.993,1.10521,0.01107,0.7254,0.62552,0.67985,0.52208,1.26524,1.43545,0.02173,0.00035382,0.00035382,0.00035382
40,5809.66,0.98384,1.09368,0.01105,0.69704,0.6283,0.67296,0.51044,1.25873,1.46792,0.02152,0.000325526,0.000325526,0.000325526
41,5955.05,1.0538,0.99005,0.01498,0.6923,0.64406,0.67981,0.51033,1.29267,1.46611,0.02238,0.000297232,0.000297232,0.000297232
42,6098.91,1.00913,0.88757,0.01395,0.70429,0.6333,0.68249,0.51907,1.28555,1.43936,0.02231,0.000268938,0.000268938,0.000268938
43,6242.41,0.98745,0.84784,0.01364,0.67871,0.6519,0.67918,0.51421,1.26374,1.46874,0.02181,0.000240644,0.000240644,0.000240644
44,6386.48,0.96694,0.83382,0.01297,0.68367,0.66081,0.68694,0.52941,1.25367,1.4239,0.02151,0.000212349,0.000212349,0.000212349
45,6531.27,0.95736,0.78588,0.0126,0.7084,0.63105,0.69329,0.52886,1.25549,1.45152,0.02138,0.000184055,0.000184055,0.000184055
46,6675.6,0.94207,0.75242,0.0125,0.68934,0.67008,0.69671,0.52816,1.24174,1.42126,0.02115,0.000155761,0.000155761,0.000155761
47,6819.99,0.91599,0.72091,0.01219,0.70104,0.66378,0.7006,0.5335,1.24797,1.41355,0.02087,0.000127467,0.000127467,0.000127467
48,6964.69,0.90977,0.69842,0.01207,0.75184,0.6076,0.69314,0.52742,1.25714,1.44376,0.02123,9.91726e-05,9.91726e-05,9.91726e-05
49,7108.7,0.88869,0.68028,0.01156,0.70533,0.65432,0.69166,0.52854,1.26955,1.43681,0.02144,7.08784e-05,7.08784e-05,7.08784e-05
50,7252.05,0.89362,0.69098,0.01167,0.70613,0.66135,0.69401,0.53013,1.25272,1.43305,0.02111,4.25842e-05,4.25842e-05,4.25842e-05
